Title,Price_a_Night,Total_Price,Rating,No_Reviewer
ห้องส่วนตัวใน Khet Phaya Thai,"1,427 ","5,706",5.0,40
ห้องส่วนตัวใน กรุงเทพ,"1,383 ","6,231",4.87,97
ห้องส่วนตัวใน กรุงเทพ,720 ,"3,080",4.99,78
ห้องส่วนตัวใน กรุงเทพ,"1,733 ","7,130",4.91,162
ห้องส่วนตัวใน Khet Ratchathewi,"1,617 ","7,018",5.0,4
ห้องส่วนตัวใน Din Daeng,739 ,"3,754",4.98,55
ห้องส่วนตัวใน กรุงเทพ,779 ,"3,347",4.95,57
ห้องส่วนตัวใน พญาไท,"1,291 ","5,364",5.0,28
ห้องส่วนตัวใน Khet Phaya Thai,720 ,"3,080",4.93,28
ห้องส่วนตัวใน กรุงเทพ,"1,618 ","6,670",4.9,188
ห้องส่วนตัวใน พญาไท,"1,240 ","5,158",4.95,22
ห้องส่วนตัวใน Din Daeng,733 ,"3,732",4.93,123
ห้องส่วนตัวใน Khet Ratchathewi,"1,277 ","5,706",4.91,56
ห้องพักในโรงแรมใน Ratchathewi,"2,250 ","9,000",0,0
ห้องส่วนตัวใน กรุงเทพ,"1,503 ","6,210",4.89,202
ห้องพักในโรงแรมใน Khet Ratchathewi,"2,578 ","10,613",4.78,74
ห้องส่วนตัวใน กรุงเทพ,"1,951 ","8,102",0,0
ห้องส่วนตัวใน Khet Pathum Wan,840 ,"3,560",4.49,59
ห้องส่วนตัวใน Khet Ratchathewi,"1,712 ","6,847",5.0,4
ห้องพักในโรงแรมใน Khet Din Daeng,"1,095 ","4,380",4.86,91
ห้องพักในโรงแรมใน Khet Ratchathewi,"2,350 ","9,400",4.89,65
ห้องส่วนตัวใน กรุงเทพ,"1,277 ","5,706",0,0
ห้องส่วนตัวใน กรุงเทพ,"1,277 ","5,706",4.51,84
ห้องส่วนตัวใน Khet Pathum Wan,"1,070 ","4,478",5.0,4
ห้องส่วนตัวใน กรุงเทพ,"1,826 ","7,304",4.73,41
ห้องพักในโรงแรมใน กรุงเทพ,"2,578 ","10,613",4.8,10
ห้องพักในโรงแรมใน Khet Ratchathewi,"2,578 ","10,613",4.75,48
ห้องส่วนตัวใน กรุงเทพ,444 ,"1,977",4.94,53
ห้องส่วนตัวใน กรุงเทพ,"1,277 ","5,706",4.33,3
ห้องพักในโรงแรมใน Khet Din Daeng,"1,095 ","4,380",4.67,3
ห้องส่วนตัวใน Khet Ratchathewi,"1,255 ","5,021",4.5,4
ห้องพักในโรงแรมใน Khet Ratchathewi,"1,505 ","6,020",4.8,10
ห้องส่วนตัวใน Khet Phaya Thai,"4,176 ","17,004",None,None
ห้องส่วนตัวใน Khet Din Daeng,"1,568 ","6,270",None,None
ห้องพักในโรงแรมใน Khet Din Daeng,"1,095 ","4,380",None,None
ห้องส่วนตัวใน Khet Ratchathewi,"1,141 ","4,565",None,None
ห้องส่วนตัวใน Khet Ratchathewi,"1,722 ","7,189",None,None
ห้องส่วนตัวใน Khet Din Daeng,"2,090 ","8,360",None,None
ห้องในโรงแรมใน Khet Ratchathewi,944 ,"3,777",None,None
ห้องส่วนตัวใน Khet Ratchathewi,"3,081 ","12,325",None,None
ห้องพักในโรงแรมใน Khet Din Daeng,"1,095 ","4,380",None,None
ห้องส่วนตัวใน Khet Ratchathewi,"1,255 ","5,021",None,None
ห้องในโรงแรมใน Khet Ratchathewi,913 ,"3,652",None,None
ห้องส่วนตัวใน กรุงเทพ,"3,081 ","12,325",None,None
