Condo_Name,Condo_Initial_Price,Condo_Developer,Nearby_BTS_Station,Room_Type,Room_Size,Nearby_Transits,Location
คอนโด นิว อีโว อารีย์ (Nue Evo Ari) ,เริ่มต้น 3.9 ลบ. (ณ. วันเปิดตัว),โนเบิล,คอนโดโนเบิล ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่30.20ถึง56.10ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์-300ม.)",ซอย อารีย์ 1 แขวง สามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
คอนโด เดอะ มูฟ ประดิพัทธ์ (The Muve Pradipat) ,เริ่มต้น 2.19 ลบ. (ณ. วันเปิดตัว),แสนสิริ|เดอะมูฟ,คอนโดแสนสิริ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,อื่นๆ",ตั้งแต่22.00ถึง49.75ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย-500ม.)",ซอยประดิพัทธ์ 23 แขวงสามเสนใน เขตพญาไท กทม. 10400
คอนโด เมย์แฟร์ เพลส วิคทอรี่ โมนูเมนต์ (Mayfair Place Victory Monument) ,เริ่มต้น 3.9 ลบ. (ณ. วันเปิดตัว),พีทีเอฟเรียลตี้,คอนโดพีทีเอฟ เรียลตี้ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,Penthouse",ตั้งแต่33.40ถึง131.50ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสนามเป้า),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสนามเป้า)คอนโดติดรถไฟฟ้าสายสีส้ม(คอนโดติดรถไฟฟ้าสถานีดินแดง-500ม.)",ถนนวิภาวดีรังสิต แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
คอนโด ซิลค์ พหลโยธิน-อารีย์ 2 (SILK PHAHOLYOTHIN-AREE 2) ,3.2 - 9.45 ลบ. (ณ. วันเปิดตัว),เคเอสเอเอสดีเวลอปเม้นท์,คอนโดเคเอสเอเอส ดีเวลอปเม้นท์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,Penthouse",ตั้งแต่45.00ถึง80.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์)",ซอย พหลโยธิน 7 (อารีย์ 2) ถนน พหลโยธิน แขวง สามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
คอนโด เดอะทรี อนุสาวรีย์ (The Tree Victory Monument) ,เริ่มต้น 4.19 ลบ. (ณ. วันที่ 17/1/2022),พฤกษา|เดอะทรี,คอนโดพฤกษา ใกล้รถไฟฟ้า,1ห้องนอน,โปรดสอบถามข้อมูลกับทางโครงการ,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-850ม.)",ถนนดินแดง แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
คอนโด ไอดีโอ พหล-สะพานควาย (Ideo  Phahol-Saphankwai) ,โปรดสอบถามข้อมูลกับทางโครงการ,อนันดาดีเวลลอปเม้นท์|ไอดีโอ,คอนโดอนันดาดีเวลลอปเม้นท์ ใกล้รถไฟฟ้า,โปรดสอบถามข้อมูลกับทางโครงการ,โปรดสอบถามข้อมูลกับทางโครงการ,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย)",ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
คอนโด คาร่า อารีย์-พระราม 6 (KARA ARI-RAMA 6) ,เริ่มต้น 7.99 ลบ. (ณ. วันที่ 21/6/2022),แกรนด์ยูนิตี้ดิเวลล็อปเมนท์|คาร่า,คอนโดแกรนด์ ยูนิตี้ ดิเวลล็อปเมนท์ ใกล้รถไฟฟ้า,2ห้องนอน,ตั้งแต่60.00ถึง61.50ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีน้ำเงินบางซื่อ-หัวลำโพง(คอนโดติดรถไฟฟ้าสถานีบางซื่อ),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีน้ำเงินบางซื่อ-หัวลำโพง(คอนโดติดรถไฟฟ้าสถานีบางซื่อ)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสะพานควาย)",150 1 ถนนพระรามที่ 6 แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร
คอนโด ณ วีรา พหลฯ-อารีย์ (Na Veera Phahol-Ari) ,เริ่มต้น 2.79 ลบ. (ณ. วันที่ 28/3/2019),ณวรางค์แอสเซท,คอนโดณวรางค์ แอสเซท ใกล้รถไฟฟ้า,"1ห้องนอน,อื่นๆ",ตั้งแต่23.13ถึง33.55ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์-850ม.)",ซ.พหลโยธิน 14 ถ.พหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพฯ 10400
คอนโด พาร์ค ออริจิ้น พญาไท (Park Origin Phayathai) ,เริ่มต้น 5.99 ลบ. (ณ. วันที่ 16/2/2021),ออริจิ้นพร็อพเพอร์ตี้|พาร์คออริจิ้น,คอนโดออริจิ้น พร็อพเพอร์ตี้ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,อื่นๆ",ตั้งแต่23.80ถึง55.20ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท)คอนโดติดรถไฟฟ้าAirportRailLink(สถานีปัจจุบัน)",ถ.พญาไท เขตพญาไท กรุงเทพฯ
คอนโด โนเบิล อราวน์ อารีย์ (NOBLE AROUND ARI) ,เริ่มต้น 5.8 ลบ. (ณ. วันที่ 19/5/2022),โนเบิล,คอนโดโนเบิล ใกล้รถไฟฟ้า,1ห้องนอน,ตั้งแต่26.40ถึง44.70ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอารีย์-90ม.)",ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
