Topic,Tag,Date_Posted,No_of_Comments
Aspire วงศ์สว่าง vs ศุภาลัย ซิตี้ รีสอร์ท จรัญ 91,"'รถไฟฟ้า MRT', 'คอนโดมิเนียม', 'รถไฟชานเมือง', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'อสังหาริมทรัพย์'",8 พ.ย.,8
เศร้า !! เมื่อสนามฟุตบอลที่คอนโดต้องถูกรื้อทิ้งเพราะมติส่วนรวมของลูกบ้าน,"'คอนโดมิเนียมใกล้รถไฟฟ้า', 'คอนโดมิเนียม', 'ฟุตบอล'",7 พ.ย.,21
ทำไมโครงการศุภาลัยอเรียนทัล สุขุมวิท 39 ถึงขายไม่ดีครับ คนเข้าอยู่จริงๆน้อยมากทั้งๆที่ทำเลก็ไม่เลว,"'อสังหาริมทรัพย์', 'คอนโดมิเนียม', 'ถนนสุขุมวิท', 'บริษัทพัฒนาอสังหาริมทรัพย์', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",3 พ.ย.,10
ใครพักอาศัย อยู่ที่ คอนโด Elio Delray สุขุมวิท 64 รบกวนหลังไมค์ หาผมทีนะครับ^^,"'ตกแต่งคอนโดมิเนียม', 'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'นิติบุคคลอาคารชุด'",3 พ.ย.,0
คอนโดในเงบ4ล้าน ห้องใหญ่หน่อย ใกล้รถไฟฟ้า ใกล้ห้าง เข้าเมืองง่าย มีทำเลไหนน่าสนใจ หรือ เพื่อนๆเล็งที่ไหนเอาไว้กันบ้าง?,"'คอนโดมิเนียม', 'กรุงเทพมหานคร', 'อสังหาริมทรัพย์', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",2 พ.ย.,6
ไปกรุงเทพ 1 เดือน เช่าที่อยู่อย่างไรดีครับ,"'กรุงเทพมหานคร', 'คนไทยในต่างแดน', 'ท่องเที่ยว', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'Airbnb'",1 พ.ย.,5
ที่จอดรถ พลัมคอนโด แจ้งวัฒนะ,"'คอนโดมิเนียม', 'รถยนต์', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'ถนนแจ้งวัฒนะ', 'ที่จอดรถ'",31 ต.ค.,2
จะตัดสินใจคอนโดสร้างเสร็จแล้ว บนเงื่อนไขแบบนี้อย่างไรดีครับ,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'คุ้มครองผู้บริโภค'",31 ต.ค.,8
อยากทราบรีวิวคอนโด Flexi สาทร-เจริญนครค่ะ,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'เขตสาทร', 'อสังหาริมทรัพย์'",30 ต.ค.,0
อยากทราบรีวิวจากผู้ที่อยู่จริง Atmoz รัชดา - ห้วยขวาง พอดีสนใจ แต่หารีวิวไม่ค่อยเจอ,"'คอนโดมิเนียม', 'อสังหาริมทรัพย์', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",29 ต.ค.,0
Aspire erawan prime เก็บเสียงมั้ย,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า'",29 ต.ค.,1
คอนโด Rich Park@Triple Station  สถานีหัวหมาก ดีไหมครับ,"'คอนโดมิเนียม', 'คอนโดมิเนียมใกล้รถไฟฟ้า', 'เขตสวนหลวง', 'ถนนพัฒนาการ'",28 ต.ค.,3
